cart_id,user_id,nombre,apellido,email,email_valido,product_id,producto_titulo,categoria,marca,cantidad,precio_unitario,descuento_pct,ingreso_bruto,ingreso_neto,descuento_importe,total_sin_descuento,total_con_descuento,fecha_proceso
1,33,Carter,Baker,carter.baker@x.dummyjson.com,true,168,Charger SXT RWD,vehicle,Dodge,3,32999.99,13.39,98999.97,85743.87,13256.1,98999.97,85743.87,2025-10-30
1,33,Carter,Baker,carter.baker@x.dummyjson.com,true,78,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,2,1999.99,18.52,3999.98,3259.18,740.8,3999.98,3259.18,2025-10-30
1,33,Carter,Baker,carter.baker@x.dummyjson.com,true,183,Green Oval Earring,womens-jewellery,,5,24.99,6.28,124.95,117.1,7.85,124.95,117.1,2025-10-30
1,33,Carter,Baker,carter.baker@x.dummyjson.com,true,100,Apple Airpods,mobile-accessories,Apple,5,129.99,12.84,649.95,566.5,83.45,649.95,566.5,2025-10-30
2,142,Aria,Parker,aria.parker@x.dummyjson.com,true,144,Cricket Helmet,sports-accessories,,4,44.99,11.47,179.96,159.32,20.64,179.96,159.32,2025-10-30
2,142,Aria,Parker,aria.parker@x.dummyjson.com,true,124,iPhone X,smartphones,Apple,4,899.99,8.03,3599.96,3310.88,289.08,3599.96,3310.88,2025-10-30
2,142,Aria,Parker,aria.parker@x.dummyjson.com,true,148,Golf Ball,sports-accessories,,4,9.99,11.24,39.96,35.47,4.49,39.96,35.47,2025-10-30
2,142,Aria,Parker,aria.parker@x.dummyjson.com,true,122,iPhone 6,smartphones,Apple,3,299.99,19.64,899.97,723.22,176.75,899.97,723.22,2025-10-30
2,142,Aria,Parker,aria.parker@x.dummyjson.com,true,110,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,5,14.99,19.87,74.95,60.06,14.89,74.95,60.06,2025-10-30
3,108,James,Garcia,james.garcia@x.dummyjson.com,true,98,Rolex Submariner Watch,mens-watches,Rolex,1,13999.99,16.35,13999.99,11710.99,2289.0,13999.99,11710.99,2025-10-30
3,108,James,Garcia,james.garcia@x.dummyjson.com,true,125,Oppo A57,smartphones,Oppo,5,249.99,16.54,1249.95,1043.21,206.74,1249.95,1043.21,2025-10-30
3,108,James,Garcia,james.garcia@x.dummyjson.com,true,55,Egg Slicer,kitchen-accessories,,2,6.99,16.04,13.98,11.74,2.24,13.98,11.74,2025-10-30
3,108,James,Garcia,james.garcia@x.dummyjson.com,true,62,Ice Cube Tray,kitchen-accessories,,2,5.99,8.25,11.98,10.99,0.99,11.98,10.99,2025-10-30
3,108,James,Garcia,james.garcia@x.dummyjson.com,true,132,Samsung Galaxy S8,smartphones,Samsung,3,499.99,8.84,1499.97,1367.37,132.6,1499.97,1367.37,2025-10-30
